,X,Y
4,0.12244897959183687,50380.15065682389
5,0.6530612244897962,51559.78253403357
6,1.183673469387755,52739.41441124325
7,1.7142857142857144,53919.046288452926
8,2.2448979591836737,55098.678165662604
9,2.775510204081633,56278.31004287228
10,3.3061224489795924,57457.941920081954
11,3.8367346938775517,58637.57379729163
12,4.36734693877551,59817.20567450131
13,4.8979591836734695,60996.83755171099
14,5.428571428571429,62176.46942892067
15,5.959183673469388,63356.10130613034
16,6.4897959183673475,64535.733183340024
17,7.020408163265307,65715.3650605497
18,7.551020408163266,66894.99693775937
19,8.081632653061225,68074.62881496905
20,8.612244897959185,69254.26069217874
21,9.142857142857144,70433.89256938841
22,9.673469387755103,71613.52444659808
23,10.204081632653063,72793.15632380777
24,10.73469387755102,73972.78820101744
25,11.26530612244898,75152.42007822712
26,11.795918367346939,76332.0519554368
27,12.326530612244898,77511.68383264646
28,12.857142857142858,78691.31570985615
29,13.387755102040817,79870.94758706582
30,13.918367346938776,81050.5794642755
31,14.448979591836736,82230.21134148518
32,14.979591836734695,83409.84321869485
33,15.510204081632654,84589.47509590453
34,16.040816326530614,85769.10697311422
35,16.571428571428573,86948.73885032389
36,17.102040816326532,88128.37072753356
37,17.63265306122449,89308.00260474323
38,18.16326530612245,90487.63448195292
39,18.69387755102041,91667.2663591626
40,19.22448979591837,92846.89823637228
41,19.75510204081633,94026.53011358195
42,20.28571428571429,95206.16199079163
43,20.816326530612248,96385.79386800132
44,21.346938775510207,97565.42574521099
45,21.877551020408166,98745.05762242066
46,22.408163265306126,99924.68949963033
47,22.938775510204085,101104.32137684002
48,23.46938775510204,102283.95325404969
49,24.0,103463.58513125937
